NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,6.63,5.64,7.62
2009,8.13,7.22,9.08
2010,7.94,6.99,8.84
2011,4.77,3.78,5.78
2012,3.96,3.02,4.88
2013,6.55,5.36,7.76
2014,16.03,14.66,17.46
2015,13.15,11.39,14.95
2016,18.77,16.59,20.96
2017,17.67,15.35,20.0
2018,7.62,6.5,8.74
2019,4.64,3.96,5.3
