FLEXPART-EMPA
Units: Gg/year
Year,Mean,16th,84th
2008,7.53,6.4,8.66
2009,9.54,8.58,10.51
2010,11.12,10.15,12.08
2011,7.13,6.17,8.1
2012,7.03,6.24,7.82
2013,13.78,12.6,14.96
2014,13.02,11.88,14.15
2015,12.05,10.63,13.47
2016,11.01,9.43,12.6
2017,11.83,10.53,13.14
2018,6.52,5.8,7.24
2019,6.44,5.68,7.21
