NAME-INTEM
Units: Gg/year
Year,Mean,16th,84th
2008,6.11,3.9,8.32
2009,9.09,6.4,11.78
2010,9.91,7.59,12.23
2011,6.26,3.91,8.62
2012,7.05,4.33,9.78
2013,12.34,9.09,15.58
2014,16.07,12.28,19.85
2015,13.14,9.62,16.66
2016,15.06,11.27,18.84
2017,15.82,11.78,19.86
2018,11.48,8.68,14.28
2019,4.27,2.38,6.16
