FLEXPART-MIT
Units: Gg/year
Year,Mean,16th,84th
2008,5.77,4.11,7.42
2009,9.01,7.1,10.92
2010,9.59,7.81,11.38
2011,5.9,3.86,7.94
2012,7.06,4.84,9.3
2013,12.58,10.66,14.49
2014,14.53,12.67,16.4
2015,14.29,12.88,15.69
2016,19.72,17.55,21.88
2017,14.16,12.06,16.26
2018,9.04,6.96,11.11
2019,4.3,3.09,5.5
