FLEXPART-MIT
Units: Gg/year
Year,Mean,16th,84th
2008,7.05,5.6,8.5
2009,8.89,7.13,10.66
2010,10.71,9.04,12.37
2011,6.98,5.14,8.82
2012,8.31,6.37,10.24
2013,10.52,9.53,11.52
2014,15.13,13.35,16.9
2015,14.3,12.96,15.64
2016,18.98,17.05,20.92
2017,15.31,13.35,17.27
2018,10.94,8.96,12.91
2019,4.72,3.54,5.89
