NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,2.5,1.6,3.4
2009,4.23,3.23,5.23
2010,4.96,3.97,5.96
2011,2.89,1.82,3.95
2012,3.04,1.93,4.14
2013,4.97,3.83,6.11
2014,4.47,3.56,5.38
2015,3.52,2.68,4.36
2016,3.27,1.88,4.66
2017,1.0,0.14,1.87
2018,0.87,-0.3,2.05
2019,0.46,-0.04,0.95
