NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,5.72,4.93,6.49
2009,4.22,3.18,5.26
2010,8.06,6.95,9.09
2011,4.57,3.26,5.91
2012,5.78,4.76,6.77
2013,5.48,4.35,6.59
2014,11.1,9.85,12.34
2015,10.63,8.62,12.64
2016,9.95,8.66,11.21
2017,7.43,6.48,8.38
2018,3.8,2.63,5.03
2019,5.27,4.47,6.09
