NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,3.01,2.52,3.51
2009,3.3,2.78,3.83
2010,3.76,3.29,4.24
2011,2.78,2.34,3.21
2012,2.02,1.61,2.43
2013,2.19,1.83,2.55
2014,3.52,3.12,3.92
2015,2.34,2.09,2.59
2016,3.68,3.1,4.25
2017,0.75,0.52,0.98
2018,1.2,0.77,1.62
2019,0.48,0.34,0.63
