FLEXPART-MIT
Units: Gg/year
Year,Mean,16th,84th
2008,8.24,6.15,10.33
2009,8.51,6.91,10.11
2010,12.13,10.73,13.53
2011,7.65,6.08,9.21
2012,7.3,5.39,9.21
2013,12.37,10.78,13.96
2014,15.48,13.98,16.98
2015,15.19,13.03,17.35
2016,12.59,10.87,14.31
2017,10.1,8.67,11.53
2018,9.18,7.48,10.88
2019,8.03,7.21,8.84
