NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,4.75,4.07,5.44
2009,5.98,5.12,6.86
2010,6.06,5.27,6.84
2011,4.8,3.88,5.69
2012,3.98,3.12,4.81
2013,7.25,6.41,8.12
2014,13.45,12.04,14.81
2015,11.02,10.24,11.77
2016,15.27,13.66,16.87
2017,15.61,13.74,17.52
2018,8.48,7.52,9.45
2019,4.31,3.76,4.86
