FLEXPART-EMPA
Units: Gg/year
Year,Mean,16th,84th
2008,5.98,5.53,6.44
2009,8.43,7.94,8.91
2010,7.25,6.82,7.67
2011,5.92,5.49,6.35
2012,7.53,6.95,8.11
2013,11.54,11.06,12.03
2014,14.15,13.41,14.88
2015,13.12,12.5,13.74
2016,12.69,12.0,13.38
2017,14.57,13.67,15.47
2018,10.86,10.31,11.41
2019,6.52,6.2,6.83
