NAME-INTEM
Units: Gg/year
Year,Mean,16th,84th
2008,5.22,3.13,7.32
2009,8.44,5.41,11.47
2010,10.34,7.83,12.84
2011,5.52,2.78,8.26
2012,7.23,4.11,10.36
2013,12.35,8.89,15.81
2014,16.76,12.37,21.16
2015,14.47,10.37,18.56
2016,20.61,14.42,26.81
2017,18.55,12.93,24.16
2018,9.39,4.73,14.05
2019,4.16,2.16,6.16
