NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,2.16,1.61,2.7
2009,2.92,2.13,3.7
2010,4.08,3.51,4.66
2011,3.16,2.47,3.83
2012,1.62,1.24,2.0
2013,1.56,1.11,2.02
2014,4.03,3.46,4.58
2015,2.6,2.16,3.03
2016,3.06,2.35,3.77
2017,0.56,0.34,0.78
2018,0.74,0.36,1.13
2019,0.24,0.15,0.34
