NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,6.57,5.74,7.41
2009,4.72,3.88,5.56
2010,8.56,7.69,9.42
2011,5.36,4.47,6.25
2012,6.78,5.88,7.68
2013,5.96,4.91,6.99
2014,11.7,10.5,12.9
2015,11.13,9.61,12.67
2016,10.1,8.93,11.28
2017,8.08,7.16,9.01
2018,5.9,4.96,6.82
2019,5.31,4.66,5.96
