NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,5.88,4.54,7.22
2009,8.79,7.14,10.44
2010,9.13,7.59,10.68
2011,5.43,3.83,7.04
2012,6.43,4.66,8.2
2013,12.18,10.22,14.14
2014,15.45,13.17,17.74
2015,14.58,12.34,16.82
2016,19.37,16.18,22.55
2017,17.04,14.16,19.93
2018,8.75,6.58,10.92
2019,4.66,3.56,5.75
