FLEXPART-EMPA
Units: Gg/year
Year,Mean,16th,84th
2008,3.72,3.27,4.16
2009,5.86,5.37,6.36
2010,6.43,5.84,7.02
2011,3.87,3.46,4.28
2012,4.87,4.43,5.31
2013,8.12,7.49,8.75
2014,4.99,4.56,5.42
2015,4.4,3.9,4.9
2016,4.61,4.11,5.1
2017,1.04,0.85,1.23
2018,0.91,0.68,1.14
2019,0.67,0.57,0.77
