NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,5.76,4.95,6.54
2009,6.84,6.1,7.6
2010,7.76,6.98,8.57
2011,5.25,4.25,6.22
2012,4.42,3.5,5.31
2013,6.99,5.81,8.14
2014,15.77,14.35,17.16
2015,12.65,11.38,13.94
2016,16.95,14.97,18.93
2017,16.12,14.24,17.87
2018,8.85,7.89,9.8
2019,4.99,4.34,5.62
