FLEXPART-EMPA
Units: Gg/year
Year,Mean,16th,84th
2008,7.31,6.17,8.44
2009,9.61,8.54,10.69
2010,10.71,9.76,11.66
2011,7.01,5.92,8.1
2012,6.9,6.1,7.7
2013,12.92,11.91,13.92
2014,12.55,11.38,13.72
2015,12.06,10.53,13.59
2016,10.94,9.39,12.48
2017,13.02,11.86,14.18
2018,6.08,5.34,6.83
2019,6.48,5.64,7.33
