FLEXPART-MIT
Units: Gg/year
Year,Mean,16th,84th
2008,4.12,1.24,6.99
2009,6.64,4.08,9.21
2010,6.93,4.45,9.42
2011,4.38,1.81,6.94
2012,4.74,1.95,7.54
2013,7.91,5.26,10.55
2014,6.77,4.35,9.18
2015,4.13,2.23,6.04
2016,5.54,2.81,8.28
2017,2.03,0.0,4.54
2018,1.09,0.0,3.3
2019,1.12,0.0,2.72
