FLEXPART-MIT
Units: Gg/year
Year,Mean,16th,84th
2008,8.38,6.9,9.86
2009,10.46,8.75,12.16
2010,12.2,10.58,13.81
2011,8.98,7.31,10.66
2012,9.79,7.82,11.76
2013,11.68,10.67,12.7
2014,17.52,15.54,19.5
2015,15.18,13.66,16.71
2016,21.7,19.71,23.69
2017,17.7,14.79,20.62
2018,13.66,11.6,15.73
2019,6.22,5.0,7.45
