NAME-INTEM
Units: Gg/year
Year,Mean,16th,84th
2008,4.19,2.57,5.81
2009,6.49,4.67,8.31
2010,10.45,8.3,12.59
2011,4.6,2.59,6.61
2012,6.51,4.02,9.0
2013,10.59,8.39,12.78
2014,10.78,8.23,13.34
2015,13.78,10.19,17.36
2016,14.56,11.17,17.95
2017,7.79,4.23,11.35
2018,7.9,4.9,10.91
2019,7.25,5.35,9.16
