NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,5.98,4.73,7.22
2009,6.87,5.61,8.14
2010,10.11,8.79,11.43
2011,5.63,4.23,7.03
2012,6.33,4.91,7.74
2013,9.86,8.46,11.26
2014,11.85,10.35,13.35
2015,11.68,9.52,13.84
2016,11.31,9.43,13.19
2017,8.8,7.07,10.52
2018,6.05,4.51,7.59
2019,6.31,5.26,7.36
