NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,6.59,5.18,7.99
2009,7.33,6.0,8.66
2010,10.73,9.39,12.07
2011,6.2,4.82,7.58
2012,6.93,5.42,8.45
2013,10.61,9.19,12.04
2014,12.72,11.17,14.27
2015,12.96,10.75,15.18
2016,12.07,10.18,13.95
2017,9.83,8.07,11.59
2018,7.23,5.67,8.8
2019,6.79,5.8,7.77
