NAME-INTEM
Units: Gg/year
Year,Mean,16th,84th
2008,2.11,0.67,3.56
2009,4.31,2.49,6.13
2010,5.02,3.0,7.05
2011,2.56,0.46,4.66
2012,3.41,0.58,6.24
2013,5.56,2.89,8.24
2014,4.26,2.42,6.1
2015,3.14,1.24,5.04
2016,5.72,2.25,9.18
2017,0.8,-1.23,2.84
2018,0.53,-2.82,3.87
2019,0.49,-0.46,1.44
