FLEXPART-EMPA
Units: Gg/year
Year,Mean,16th,84th
2008,5.9,5.28,6.52
2009,9.59,8.88,10.3
2010,8.67,7.76,9.59
2011,5.54,4.92,6.16
2012,7.46,6.68,8.24
2013,17.25,15.98,18.51
2014,14.49,13.05,15.93
2015,16.4,14.62,18.17
2016,18.36,16.15,20.58
2017,17.79,16.3,19.28
2018,8.95,8.12,9.78
2019,5.53,5.02,6.05
