NAME-INTEM
Units: Gg/year
Year,Mean,16th,84th
2008,2.01,0.51,3.51
2009,4.06,2.34,5.77
2010,4.42,2.67,6.18
2011,2.53,0.46,4.6
2012,3.45,0.83,6.07
2013,4.8,2.48,7.12
2014,4.19,2.42,5.96
2015,2.74,1.09,4.39
2016,5.5,1.94,9.07
2017,0.72,-1.24,2.69
2018,0.51,-2.52,3.55
2019,0.42,-0.47,1.31
