FLEXPART-EMPA
Units: Gg/year
Year,Mean,16th,84th
2008,3.67,3.12,4.22
2009,6.98,6.54,7.43
2010,7.85,7.18,8.52
2011,4.05,3.62,4.48
2012,5.27,4.95,5.59
2013,10.74,10.02,11.46
2014,6.12,5.79,6.46
2015,6.13,5.73,6.52
2016,2.26,2.05,2.47
2017,1.55,1.3,1.81
2018,1.78,1.61,1.94
2019,0.6,0.53,0.66
