FLEXPART-EMPA
Units: Gg/year
Year,Mean,16th,84th
2008,5.72,5.18,6.26
2009,9.07,8.58,9.56
2010,6.73,6.22,7.23
2011,5.46,5.04,5.89
2012,7.37,6.83,7.9
2013,10.48,9.85,11.11
2014,13.14,12.29,13.99
2015,11.81,11.11,12.52
2016,11.7,10.95,12.45
2017,12.91,11.89,13.94
2018,10.71,10.07,11.35
2019,5.88,5.48,6.27
