NAME-HB
Units: Gg/year
Year,Mean,16th,84th
2008,3.24,1.93,4.55
2009,5.03,3.67,6.39
2010,5.53,4.14,6.93
2011,3.4,2.02,4.78
2012,3.76,2.14,5.38
2013,5.95,4.37,7.53
2014,4.88,3.61,6.16
2015,3.5,2.36,4.65
2016,4.89,3.07,6.71
2017,1.15,-0.09,2.4
2018,0.93,-0.62,2.48
2019,0.69,-0.01,1.39
