NAME-INTEM
Units: Gg/year
Year,Mean,16th,84th
2008,4.23,2.68,5.78
2009,6.48,4.68,8.27
2010,11.51,9.39,13.63
2011,4.78,2.83,6.73
2012,6.74,4.34,9.15
2013,11.21,9.17,13.25
2014,11.14,8.83,13.45
2015,13.47,9.85,17.09
2016,14.64,11.54,17.74
2017,8.11,4.6,11.63
2018,7.78,4.94,10.62
2019,7.33,5.69,8.97
