NAME-INTEM
Units: Gg/year
Year,Mean,16th,84th
2008,6.16,3.94,8.38
2009,9.07,6.39,11.76
2010,9.81,7.68,11.95
2011,6.36,3.98,8.73
2012,6.46,3.68,9.24
2013,11.98,8.54,15.42
2014,16.11,12.21,20.02
2015,13.26,9.69,16.83
2016,15.41,11.7,19.12
2017,16.23,11.79,20.67
2018,12.07,9.31,14.82
2019,4.2,2.35,6.06
