FLEXPART-MIT
Units: Gg/year
Year,Mean,16th,84th
2008,2.16,1.14,3.18
2009,2.96,1.91,4.01
2010,3.5,2.52,4.48
2011,1.82,0.75,2.88
2012,1.8,0.72,2.87
2013,2.77,1.7,3.85
2014,3.54,2.57,4.51
2015,2.61,1.71,3.5
2016,2.26,1.19,3.33
2017,1.18,0.17,2.19
2018,0.47,0.0,1.57
2019,0.57,0.0,1.5
